question,answer,faithfulness,answer_relevancy
How many calories in a banana?,A medium-sized banana contains approximately 105 calories. This can vary slightly depending on the banana's size and ripeness.,0,0
What is the protein content of paneer?,Paneer typically contains around 18-20 grams of protein per 100 grams serving. This high protein content makes it a popular choice in Indian cuisine.,0,0
How often should I run to lose weight?,"To lose weight, it's generally recommended to run at least 3-4 times a week, with one or two of those sessions being longer runs of 30-45 minutes. Consistency and incorporating interval training can also help maximize weight loss.",0,0
Benefits of drinking warm lemon water?,Drinking warm lemon water can aid in digestion and boost the immune system due to its high vitamin C content and natural alkalinity. It may also help to cleanse and detoxify the body.,0,0
Is intermittent fasting good for weight loss?,"Intermittent fasting can be an effective method for weight loss, as it helps reduce overall calorie intake and can lead to a loss of body fat. By restricting eating windows and increasing fasting periods, it can promote weight loss and improve metabolic health.",0,0
How to perform a proper squat?,"To perform a proper squat, stand with your feet shoulder-width apart and slowly lower your body down by bending your knees and hips, keeping your back straight and weight in your heels. Push through your heels to return to standing, squeezing your glutes and keeping your knees in line with your toes.",0,0
What foods are rich in iron for vegetarians?,"Vegetarians can obtain iron from plant-based sources such as lentils, chickpeas, black beans, spinach, and fortified cereals. Additionally, dark leafy greens like kale and broccoli are also rich in iron.",0,0
How much water should I drink daily?,"The general recommendation is to drink at least 8-10 cups (64-80 ounces) of water per day, but this may vary depending on individual factors such as age, sex, weight, and activity level.",0,0
Can I eat bananas on a keto diet?,"Bananas are relatively high in carbohydrates, making them less suitable for a keto diet. A single medium-sized banana contains around 27 grams of carbs.",0,0
Best exercises for lower back pain?,"Exercises that can help alleviate lower back pain include pelvic tilts, bridges, and CAT (Cathedral) stretches, which strengthen core muscles and improve flexibility. Gentle yoga and Pilates exercises, such as the ""child's pose"" and ""plank,"" can also provide relief and support.",0,0
How many calories in a masala dosa?,"The calorie count of a masala dosa can vary depending on the serving size and ingredients used, but on average, it contains around 300-400 calories. This amount may be higher if the dosa is stuffed with more filling.",0,0
How to reduce bloating after meals?,"To reduce bloating after meals, drink plenty of water and consider incorporating foods high in fiber, such as fruits and vegetables, into your diet. Additionally, eating smaller, more frequent meals and avoiding carbonated and high-fiber foods can also help alleviate bloating.",0,0
Is it bad to eat late at night?,"Eating late at night can disrupt sleep patterns and lead to weight gain, as it can cause an insulin spike and decreased digestion during sleep. It's generally recommended to finish eating at least 2-3 hours before bedtime.",0,0
What should I eat before a morning workout?,"Eat a light meal or snack 1-3 hours before a morning workout, consisting of complex carbohydrates, lean protein, and healthy fats, such as oatmeal with banana and peanut butter, or whole-grain toast with avocado and eggs. This will provide sustained energy and support muscle function.",0,1
How to cure muscle soreness naturally?,"To cure muscle soreness naturally, apply heat or cold packs to the affected area and use techniques like foam rolling, stretching, or massage to improve blood flow and reduce inflammation. Additionally, consume foods rich in omega-3 fatty acids, antioxidants, and anti-inflammatory compounds like turmeric, ginger, and leafy greens to aid in recovery.",0,0
What are the side effects of too much protein?,"Consuming excessive protein can lead to kidney strain, dehydration, and an increased risk of kidney stones. It may also cause digestive issues, such as diarrhea, bloating, and stomach cramps, due to the body's inability to process the excess protein.",0,0
How to do a proper push-up?,"To do a proper push-up, start in a plank position with your hands shoulder-width apart, engage your core, and lower your body until your chest nearly touches the ground, then push back up to the starting position. Keep your body straight and avoid letting your hips sag or your back arch.",0,0
What is the best time to drink green tea?,"The best time to drink green tea is typically in the morning or early afternoon, as its caffeine content can interfere with sleep if consumed too close to bedtime. Drinking it before meals can also enhance its digestive benefits.",0,0
How many eggs can I eat per day?,"The American Heart Association recommends limiting dietary cholesterol to 300 milligrams per day, and an average large egg contains around 186 milligrams of cholesterol. It's generally safe to consume 1 egg per day, but this can vary depending on individual health and dietary needs.",0,0
Role of fiber in weight loss?,"Fiber plays a crucial role in weight loss by promoting satiety, slowing down digestion, and reducing calorie absorption. A high-fiber diet can also help with portion control and increase feelings of fullness, leading to a decrease in overall calorie intake.",0,0
