food_name,food_group,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,vitamin_a_mcg,folate_mcg,zinc_mg,preparation_state,region,rag_description
"Rice, raw, milled (white rice)","Cereals",362,6.8,0.5,78.2,0.2,6,0.7,5,70,0,0,8,1.5,"Raw","Pan-India","White milled rice, staple grain of India, 362 kcal per 100g, low fiber, low fat, good carbohydrate source."
"Rice, parboiled (boiled rice)","Cereals",349,7.5,0.6,76.0,0.5,12,1.2,4,95,0,0,10,1.8,"Raw","South India","Parboiled rice retains more nutrients than milled rice, 349 kcal, higher protein and iron than white rice."
"Rice, brown (unpolished)","Cereals",357,7.9,2.7,73.0,3.4,23,1.8,7,223,0,0,20,2.5,"Raw","Pan-India","Brown rice with bran intact, 357 kcal, rich in fiber 3.4g, higher minerals and B vitamins than white rice."
"Rice, puffed (murmura)","Cereals",380,7.5,0.1,84.5,0.4,5,1.5,2,55,0,0,4,1.2,"Processed","Pan-India","Puffed rice (murmura), light snack, 380 kcal, very low fat, used in bhel puri and chivda."
"Rice, flattened (poha/chivda)","Cereals",346,6.6,1.1,77.0,0.9,14,2.7,3,76,0,0,7,1.1,"Processed","Maharashtra/West India","Flattened rice (poha), 346 kcal, good iron source at 2.7mg, popular breakfast food across India."
"Wheat, whole grain","Cereals",341,11.8,1.5,71.2,1.9,41,3.5,2,306,0,0,40,2.7,"Raw","North India","Whole wheat grain, 341 kcal, excellent protein 11.8g, high iron 3.5mg and fiber, staple of North India."
"Wheat flour, whole (atta)","Cereals",341,12.1,1.7,69.4,1.8,48,4.9,3,315,0,0,43,2.9,"Processed","Pan-India","Whole wheat flour (atta), 341 kcal, protein 12.1g, iron 4.9mg, used for chapati, roti, paratha daily."
"Wheat flour, refined (maida)","Cereals",348,10.3,0.9,73.9,0.3,23,2.7,3,107,0,0,12,0.7,"Processed","Pan-India","Refined wheat flour (maida), 348 kcal, low fiber 0.3g, lower nutrients than whole wheat atta."
"Wheat semolina (suji/rava)","Cereals",349,10.4,1.0,73.8,0.5,17,4.5,8,153,0,0,18,1.4,"Processed","Pan-India","Wheat semolina (suji/rava), 349 kcal, used for upma, halwa, idli; moderate protein and iron."
"Wheat vermicelli (seviyan)","Cereals",352,9.8,1.2,74.1,0.4,20,3.1,5,120,0,0,10,1.0,"Processed","North India","Wheat vermicelli (seviyan), 352 kcal, used in kheer and upma, moderate protein source."
"Jowar (sorghum), whole","Millets",349,10.4,1.9,72.6,1.6,25,4.1,1,350,0,0,32,1.7,"Raw","Maharashtra/Deccan","Sorghum (jowar), 349 kcal, rich iron 4.1mg and potassium 350mg, gluten-free millet for bhakri."
"Bajra (pearl millet), whole","Millets",361,11.6,5.0,67.5,1.3,42,8.0,10,307,0,0,45,3.1,"Raw","Rajasthan/Gujarat","Pearl millet (bajra), 361 kcal, very high iron 8.0mg, excellent protein 11.6g, zinc 3.1mg."
"Ragi (finger millet), whole","Millets",328,7.3,1.3,72.0,3.6,344,3.9,11,408,0,0,18,2.5,"Raw","South India/Karnataka","Finger millet (ragi/nachni), 328 kcal, exceptional calcium 344mg, high fiber 3.6g, iron 3.9mg."
"Maize (corn), dried","Cereals",342,8.8,3.6,73.3,2.7,10,2.3,10,330,0,48,25,2.1,"Raw","Pan-India","Dried maize (corn), 342 kcal, beta-carotene 48mcg, fiber 2.7g, protein 8.8g. Used for makki ki roti."
"Maize flour (makki atta)","Cereals",344,8.5,3.2,74.5,2.5,9,2.1,8,284,0,40,20,1.9,"Processed","Punjab/North India","Corn flour (makki atta), 344 kcal, gluten-free, used for makki di roti with sarson da saag in winter."
"Oats, rolled","Cereals",379,13.2,6.9,67.7,10.6,52,4.7,8,355,0,0,32,3.6,"Processed","Pan-India","Rolled oats, 379 kcal, very high fiber 10.6g (beta-glucan), excellent protein 13.2g, heart-healthy."
"Barley, whole (jau)","Cereals",336,11.5,1.3,69.6,3.9,26,3.7,12,452,0,0,19,2.8,"Raw","North India","Whole barley (jau), 336 kcal, high fiber 3.9g, good iron 3.7mg and potassium 452mg. Used in soups."
"Kodo millet (kodon)","Millets",353,9.8,2.6,72.9,9.0,35,1.7,4,188,0,0,28,1.6,"Raw","Central India","Kodo millet, 353 kcal, very high fiber 9g, traditional millet of Chhattisgarh and Madhya Pradesh."
"Foxtail millet (kangni)","Millets",351,12.3,4.3,60.9,6.7,31,2.8,4,250,0,0,15,2.4,"Raw","South India/AP","Foxtail millet (kangni), 351 kcal, high protein 12.3g, fiber 6.7g, iron 2.8mg. Used in pongal."
"Little millet (kutki)","Millets",341,9.7,4.7,67.0,7.6,17,9.3,8,300,0,0,36,2.2,"Raw","Central India","Little millet (kutki), 341 kcal, very high iron 9.3mg, fiber 7.6g. Used as rice substitute in tribal areas."
"Proso millet (chena)","Millets",356,12.5,3.5,70.4,2.2,14,0.8,6,142,0,0,23,1.6,"Raw","Pan-India","Proso millet (chena), 356 kcal, high protein 12.5g, lower iron but good carbohydrate source."
"Barnyard millet (sanwa)","Millets",342,11.2,3.9,65.5,13.6,20,5.0,20,210,0,0,45,3.0,"Raw","Himalayan/Uttarakhand","Barnyard millet (sanwa), 342 kcal, highest fiber 13.6g among millets, iron 5.0mg. Used during fasting."
"Bread, white (wheat)","Cereals",265,7.9,3.2,51.9,1.8,77,2.1,527,100,0,0,26,0.6,"Cooked","Pan-India","White bread, 265 kcal, high sodium 527mg, low fiber. Commonly consumed in urban India."
"Bread, brown (whole wheat)","Cereals",252,8.9,2.7,49.3,3.5,72,2.9,470,135,0,0,30,1.1,"Cooked","Pan-India","Whole wheat brown bread, 252 kcal, higher fiber 3.5g and protein than white bread."
"Rice, cooked (boiled)","Cereals",130,2.7,0.3,28.7,0.4,5,0.5,1,35,0,0,3,0.6,"Cooked","Pan-India","Cooked white rice, 130 kcal per 100g, easy to digest, low fiber, staple across all Indian meals."
"Chapati/Roti (whole wheat)","Cereals",297,9.5,3.7,60.8,1.9,37,3.8,2,240,0,0,34,2.2,"Cooked","Pan-India","Whole wheat chapati, 297 kcal, good protein 9.5g, iron 3.8mg. Standard Indian flatbread, 1 chapati ~40g."
"Paratha (plain, whole wheat)","Cereals",326,8.5,9.3,55.1,1.8,31,3.2,4,210,0,0,29,1.9,"Cooked","North India","Plain whole wheat paratha, 326 kcal, higher fat due to cooking oil/ghee, popular North Indian breakfast."
"Idli (steamed, rice+urad)","Cereals",132,4.2,0.5,27.7,0.5,20,1.0,156,78,0,0,9,0.5,"Cooked","South India","Steamed idli, 132 kcal, low fat, moderate protein, high sodium 156mg due to fermentation and salt. 1 idli ~40g."
