question,answer,faithfulness,answer_relevancy
How many calories in a banana?,A medium-sized banana typically contains around 105 calories. This can vary depending on the size and ripeness of the banana.,1,1
What is the protein content of paneer?,Paneer is a type of Indian cheese with a protein content of approximately 18-20 grams per 100 grams. This makes it a rich source of protein in vegetarian diets.,0,1
How often should I run to lose weight?,"For weight loss, the American Heart Association recommends at least 150 minutes of moderate-intensity running per week, or 75 minutes of vigorous-intensity running per week. Aim to run 3-4 times a week for optimal results.",0,1
Benefits of drinking warm lemon water?,"Drinking warm lemon water can aid in digestion and boost the immune system, while also providing a natural source of vitamin C and antioxidants. It may also help to stimulate the body's natural detoxification processes.",1,0
Is intermittent fasting good for weight loss?,"Intermittent fasting can be an effective method for weight loss, as it helps reduce overall calorie intake and boosts metabolism. However, its success also depends on individual eating habits and lifestyle.",1,0
How to perform a proper squat?,"To perform a proper squat, stand with your feet shoulder-width apart and hold your back straight, then slowly lower your body down by bending your knees and hips, keeping your weight in your heels. Push back up to the starting position while squeezing your glutes and keeping your back straight.",1,1
What foods are rich in iron for vegetarians?,"Vegetarians can get iron from foods such as beans, lentils, spinach, and fortified cereals. Dark leafy greens like kale and Swiss chard are also rich in iron.",0,0
How much water should I drink daily?,"The general recommendation is to drink at least 8-10 cups (64-80 ounces) of water per day, but individual needs may vary based on factors such as age, sex, weight, and activity level.",1,0
Can I eat bananas on a keto diet?,Bananas are relatively high in carbohydrates and should be consumed in moderation or avoided on a keto diet due to their high sugar content. A medium-sized banana contains around 27 grams of carbohydrates.,0,0
Best exercises for lower back pain?,"Exercises that target the core muscles, such as the pelvis and abdominal muscles, can help alleviate lower back pain. Examples include the pelvic tilt, knee to chest stretch, bird dog, and bridges.",0,1
How many calories in a masala dosa?,"A traditional masala dosa typically contains around 220-240 calories, but this can vary depending on the amount of filling and the type of batter used.",0,0
How to reduce bloating after meals?,"To reduce bloating after meals, drink plenty of water and consider incorporating digestive enzymes, probiotics, or peppermint oil into your diet. Additionally, eat smaller, more balanced meals and avoid carbonated drinks, processed foods, and foods high in sugar, salt, and unhealthy fats.",0,1
Is it bad to eat late at night?,"Eating late at night can lead to weight gain, digestive issues, and disrupted sleep patterns due to the body's natural digestive process interfering with the body's sleep-wake cycle. It's recommended to finish eating 2-3 hours before bedtime for better digestion and sleep quality.",1,1
What should I eat before a morning workout?,"Opt for a balanced meal or snack with a mix of carbohydrates, protein, and some healthy fats about 1-3 hours before your workout. Examples include oatmeal with banana and nuts, whole-grain toast with avocado and eggs, or Greek yogurt with berries and honey.",1,1
How to cure muscle soreness naturally?,"To cure muscle soreness naturally, try incorporating activities like stretching, foam rolling, or taking warm baths with Epsom salt or essential oils like peppermint or eucalyptus. Additionally, staying hydrated, getting enough rest, and consuming anti-inflammatory foods like turmeric or ginger may also help alleviate muscle soreness.",0,0
What are the side effects of too much protein?,"Consuming excessive protein can lead to kidney strain and potentially increase the risk of kidney damage or disease, particularly in individuals with pre-existing kidney issues. It can also cause dehydration and digestive issues, such as diarrhea, nausea, and stomach cramps.",0,1
How to do a proper push-up?,"To do a proper push-up, start in a plank position with your hands shoulder-width apart and engage your core, then lower your body until your chest almost touches the ground before pushing back up to the starting position. Keep your back straight, abs tight, and only lower your body by bending your elbows.",0,1
What is the best time to drink green tea?,"The best time to drink green tea is in the morning or early afternoon, as it can help increase alertness and boost metabolism. It's also recommended to avoid drinking green tea too close to bedtime due to its caffeine content.",1,0
How many eggs can I eat per day?,"The recommended daily intake of eggs varies, but generally, it's suggested to limit egg consumption to 3-4 eggs per week for a healthy adult, with no more than 1-2 eggs per day.",0,0
Role of fiber in weight loss?,"Fiber plays a significant role in weight loss by helping to reduce hunger, slow down digestion, and promote feelings of fullness. A high-fiber diet can also increase satiety, leading to a decrease in overall calorie intake.",1,1
