Tip_ID,Workout_Type,Category,Subcategory,Tip_Title,Tip_Description,Key_Benefit,Equipment_Needed,Duration_Recommendation,Difficulty_Level,Muscle_Groups_Targeted,Scientific_Backing,Target_Audience,Avoid_If,Frequency_Recommendation,Calories_Burned_Estimate,Rest_Period,Progression_Strategy
1,Gym,Strength Training,Compound Movements,Start with Compound Lifts,"Always begin your gym session with big compound movements like squats, deadlifts and bench press before isolation exercises – they require the most energy and neural drive.",Maximum muscle recruitment and strength gains,"Barbell, dumbbells, squat rack",45-60 min,Intermediate,"Full body (quads, glutes, hamstrings, chest, back)",Very High,Gym-goers (intermediate+),Lower back injury (consult doctor),3-4x per week,"300-500 kcal",2-3 min between sets,"Add 2.5-5kg every 1-2 weeks"
2,Gym,Strength Training,Progressive Overload,Apply Progressive Overload Every Week,"Increase weight, reps or sets by a small amount each week – progressive overload is the single most important principle for building strength and muscle.",Continuous muscle and strength adaptation,Any gym equipment,Any session length,All levels,Varies by exercise,Very High,All gym-goers,None,Every session,Varies,Varies,"Track workouts and increase by smallest increment available"
3,Gym,Strength Training,Form and Technique,Master Form Before Adding Weight,"Perfect your movement pattern with lighter weights before progressing to heavier loads – prevents injury and maximises muscle activation.",Prevents injury and improves muscle engagement,"Barbell, dumbbells, mirrors","First 4-8 weeks of any new exercise",Beginner,Varies,Very High,Beginners,None,Every session,N/A,"Add weight only when form is perfect for all reps"
4,Gym,Strength Training,Upper Body,Perfect the Bench Press Technique,"Keep feet flat on floor, retract shoulder blades, arch lower back slightly, grip bar slightly wider than shoulder-width and lower bar to mid-chest.",Maximises chest activation and shoulder safety,"Barbell, bench press","3-5 sets of 5-10 reps",Intermediate,"Chest, anterior deltoids, triceps",Very High,Gym-goers,Shoulder injury / rotator cuff issues,2-3x per week,"150-250 kcal",2-3 min,"Add 2.5kg when you complete all reps with perfect form"
5,Gym,Strength Training,Lower Body,Squat Below Parallel for Full Quad Development,"Squat to at least parallel (thighs horizontal) or deeper to fully activate quadriceps, glutes and hamstrings.",Full quad and glute activation,"Barbell, squat rack","3-5 sets of 5-8 reps",Intermediate,"Quadriceps, glutes, hamstrings, calves",Very High,Intermediate gym-goers,"Knee pain, hip impingement",2x per week,"200-350 kcal",2-3 min,"Add 2.5-5kg each successful session"
6,Gym,Strength Training,Back,Deadlift with Neutral Spine,"Keep spine neutral (not rounded) throughout the deadlift by hinging at hips, pushing floor away and maintaining tight lats.",Builds total body strength safely,"Barbell, plates","3-5 sets of 3-6 reps",Intermediate,"Hamstrings, glutes, lower back, traps",Very High,Intermediate gym-goers,"Lower back injury, disc problems",1-2x per week,"200-400 kcal",3-5 min,"Add 5kg when all sets are completed cleanly"
7,Gym,Strength Training,Isolation,Include Isolation Exercises for Weak Points,"After compound lifts, add isolation exercises like bicep curls, lateral raises and leg curls to target lagging muscle groups.",Addresses muscle imbalances and aesthetics,"Dumbbells, cables, machines","15-20 min at end of session",Intermediate,Specific muscle groups,High,Intermediate gym-goers,Joint injuries in targeted area,2-3x per week,"100-150 kcal",60-90 sec,"Increase weight or reps gradually"
8,Gym,Strength Training,Split Training,Follow a Push Pull Legs Split,"Organise training into push days (chest, shoulders, triceps), pull days (back, biceps) and leg days – allows muscle groups 48–72 hours recovery.",Optimal frequency and recovery,Full gym access,"3-6 days per week",Intermediate,"Entire body across the week",Very High,Intermediate to advanced gym-goers,None,"3-6x per week","200-400 kcal per session","48-72 hours per muscle group","Add volume or weight each week"
9,Gym,Hypertrophy,Volume Training,Train in the 8‑12 Rep Range for Hypertrophy,"For maximum muscle growth, perform exercises in the 8‑12 rep range with 60‑75% of your 1‑rep max; aim for 10‑20 sets per muscle group per week.",Maximum muscle hypertrophy stimulus,Gym equipment,60-90 min,Intermediate,All major muscle groups,Very High,Those seeking muscle growth,None,"4-5x per week","250-400 kcal",60-90 sec,"Increase weight once top of rep range is achieved"
10,Gym,Hypertrophy,Time Under Tension,Use Slow Eccentric Contractions,"Lower weights slowly (3‑4 seconds) during the eccentric phase (e.g., bench press, curls, squats) to increase muscle damage and growth stimulus.",Increases muscle damage and growth stimulus,Any gym equipment,Normal session (slower tempo),Intermediate,Targeted muscle group,High,Muscle‑building focused individuals,Joint issues,"2-3x per week",Similar to normal training,Slightly longer rest (90 sec),"Progress weight when form is maintained"
11,Gym,Hypertrophy,Techniques,Use Drop Sets for Muscle Exhaustion,"After reaching failure, reduce weight by 20‑25% and continue for more reps without rest – pushes past normal failure point.",Increases metabolic stress,Dumbbells or machines,"Add 1‑2 drop sets at end of each exercise",Advanced,Targeted muscle group,High,Advanced gym-goers,"Injury, fatigue, overtraining","1x per muscle group per week",None within drop set,"Only add when plateauing"
12,Gym,Hypertrophy,Techniques,Incorporate Supersets to Save Time,"Pair two exercises for opposing muscles (e.g., biceps/triceps or chest/back) back‑to‑back with no rest – doubles workout density.",Saves time, maintains intensity,Gym equipment,Same time as normal workout,Intermediate,Opposing muscle groups,High,Time‑limited gym-goers,None,"2-4x per week",Slightly higher due to density,"Rest after completing the superset pair","Increase weight on both exercises progressively"
13,Gym,Cardio,HIIT,Do HIIT on the Treadmill,"Alternate 30 seconds sprinting at 85‑95% max effort with 90 seconds walking for 20‑25 minutes – maximum fat burning in minimum time.",Burns 25‑30% more calories than steady‑state cardio,Treadmill,20-25 min,Intermediate,"Cardiovascular system, legs",Very High,All gym-goers,"Joint issues, knee pain, heart conditions","2-3x per week","250-400 kcal","90 sec walk between sprints","Increase sprint speed or reduce rest"
14,Gym,Cardio,Steady State,Use Steady State Cardio for Active Recovery,"30‑45 minutes low intensity cardio (60‑65% max heart rate) on rest days improves cardiovascular health and blood flow to muscles, aiding recovery.",Enhances recovery without fatigue,"Treadmill, bike, elliptical",30-45 min,Easy,Cardiovascular system,High,All gym-goers,None,"2-3x per week on rest days","200-350 kcal",Continuous,"Gradually increase duration"
15,Gym,Flexibility,Stretching,Always Warm Up Before Lifting,"5‑10 minutes dynamic stretches (leg swings, arm circles, hip circles) plus light cardio – increases core temperature, joint mobility, prevents injury.",Reduces injury risk by up to 50%,None needed,5-10 min,Easy,Full body,Very High,All gym-goers,None,Before every session,"50-100 kcal",N/A,"Progress from light to more dynamic movements"
